# Crystal Eye Ground Track  |  i=5  |  h=550 km
# Inizio missione: 2031-01-01 00:00:00 UTC
# Passo temporale: 8 s  |  Durata: 95.65 min (1 orbita)
#
# Colonne:
#   UTC_datetime       : timestamp ISO 8601
#   X_ECI_km           : posizione ECI asse X (km)
#   Y_ECI_km           : posizione ECI asse Y (km)
#   Z_ECI_km           : posizione ECI asse Z (km)
#   X_ECEF_km          : posizione ECEF asse X (km)
#   Y_ECEF_km          : posizione ECEF asse Y (km)
#   Z_ECEF_km          : posizione ECEF asse Z (km)
#   lat_deg            : latitudine geocentrica (gradi)
#   lon_deg            : longitudine (gradi)
#   alt_km             : altitudine sul geoide (km)
#
UTC_datetime              X_ECI_km      Y_ECI_km      Z_ECI_km     X_ECEF_km     Y_ECEF_km     Z_ECEF_km     lat_deg     lon_deg      alt_km
2031-01-01T00:15:28     -5861.4561     3657.6590      513.2562    -5600.7125     4045.6343      513.2562      4.2486    144.1578    550.0000
2031-01-01T00:15:36     -5893.1024     3606.0552      516.0224    -5633.4435     3999.5756      516.0224      4.2715    144.6264    550.0000
2031-01-01T00:15:44     -5924.2979     3554.1755      518.7490    -5665.7993     3953.2502      518.7490      4.2941    145.0950    550.0000
2031-01-01T00:15:52     -5955.0401     3502.0239      521.4358    -5697.7779     3906.6612      521.4358      4.3164    145.5637    550.0000
2031-01-01T00:16:00     -5985.3268     3449.6044      524.0826    -5729.3769     3859.8118      524.0826      4.3383    146.0323    550.0000
2031-01-01T00:16:08     -6015.1555     3396.9210      526.6892    -5760.5944     3812.7050      526.6892      4.3600    146.5010    550.0000
2031-01-01T00:16:16     -6044.5241     3343.9777      529.2554    -5791.4283     3765.3441      529.2554      4.3812    146.9698    550.0000
2031-01-01T00:16:24     -6073.4303     3290.7786      531.7810    -5821.8765     3717.7321      531.7810      4.4022    147.4385    550.0000
2031-01-01T00:16:32     -6101.8718     3237.3277      534.2658    -5851.9370     3669.8723      534.2658      4.4228    147.9073    550.0000
2031-01-01T00:16:40     -6129.8465     3183.6291      536.7096    -5881.6078     3621.7678      536.7096      4.4431    148.3761    550.0000
2031-01-01T00:16:48     -6157.3523     3129.6870      539.1122    -5910.8869     3573.4219      539.1122      4.4630    148.8450    550.0000
2031-01-01T00:16:56     -6184.3870     3075.5054      541.4735    -5939.7723     3524.8377      541.4735      4.4826    149.3138    550.0000
2031-01-01T00:17:04     -6210.9486     3021.0886      543.7932    -5968.2622     3476.0185      543.7932      4.5018    149.7827    550.0000
2031-01-01T00:17:12     -6237.0350     2966.4406      546.0713    -5996.3546     3426.9676      546.0713      4.5207    150.2517    550.0000
2031-01-01T00:17:20     -6262.6443     2911.5657      548.3074    -6024.0477     3377.6882      548.3074      4.5393    150.7206    550.0000
2031-01-01T00:17:28     -6287.7745     2856.4680      550.5015    -6051.3396     3328.1836      550.5015      4.5575    151.1896    550.0000
2031-01-01T00:17:36     -6312.4236     2801.1519      552.6533    -6078.2286     3278.4572      552.6533      4.5753    151.6586    550.0000
2031-01-01T00:17:44     -6336.5899     2745.6214      554.7627    -6104.7127     3228.5122      554.7627      4.5928    152.1276    550.0000
2031-01-01T00:17:52     -6360.2713     2689.8808      556.8296    -6130.7903     3178.3519      556.8296      4.6100    152.5967    550.0000
2031-01-01T00:18:00     -6383.4662     2633.9345      558.8538    -6156.4596     3127.9798      558.8538      4.6268    153.0657    550.0000
